userID,Rating,Review
1.0,1.0,"Jawan is phenomenally entertaining and consistently engaging.  It's Stylish, slick and action-packed film which l has actions, thrills, patriotism and gripping storyline. Shahrukh Khan has once again bounced back after the super success of Pathan with a bang and has made his fans delighted."
2.0,5.0,"""A Cinematic Masterpiece"""
3.0,5.0,"""Jawan"" is one of the best movies of the year! There are lot of scenes that will touch your heart. This movie is in the league of RRR and KGF.  A solid 5/5. Literally didn't expect this type of creativity from Bollywood.Jawan has everything to offer you want to expect in a good Movie.Action, Romance, Comedy, Thriller, Emotions, in simple words Jawan is a roller coaster of emotion which put you to the edge of your seat till the very end.2 Hours and 48 Mins of Movie and Never Got Bored of any second.second.Shah Rukh Khan the one and Only and truly the Last of Stars in Bollywood ever He Totally Nailed his role.I can't imagine srk in multiple roles and he has nailed it in each and every role. "
4.0,3.0,"Jawan is all MASSY & Charmness , stylish all thanks to SRK & Music from Anirudh. I agree this film is just above average & is Mix from many movies. But story was little weak or can say better already seen it before in other movies."
5.0,5.0,"It's a Masterpiece 😍 It's one of the best movies of the year! There are lot of scenes that will touch your heart. I will give 10/5. Wasn't expecting this type of creativity from Bollywood.Jawan has everything to offer you want to expect in a good Movie.Action, Romance, Comedy, Thriller, Emotions, in simple words Jawan is a roller coaster of emotion.2 Hours and 48 Mins of Movie consisting full entertainment and Never Got Bored for a second.Shah Rukh Khan totally Nailed his role."
6.0,5.0,"""Javan"" is a cinematic masterpiece that left me spellbound from start to finish. Directed by the South choreographic visionary auteur ATLEE, this film takes viewers on a profound and emotionally charged journey that transcends the boundaries of ordinary storytelling."
7.0,5.0,"Jawan is really an excellent Masss entertaining movie with such stunning action scenes, top notch visuals and vfx, Emotional scenes and amazing performance by every one, masss entry for Srk with such stunning different looks 🤯😱😍💯🤌🔥. What a great Filmmaker is Atleee he is massiest director for today genzzz in whole Indian Cinema but didn't have Thalapathy cameo it's ok but we got such another superstar cameo not only but his controversy also when you will watch the movie you will get everything. storyline is really good and impactful message to the whole government of our country is really needed. Storyline of every Girls in jawan is really emotional flashback and they did such excellent job in the performance by Shah Rukh Khan in dual role as Vikram Rathore and Azad was really fantastic and mind blowing where you will forget who is Vikram or Azaad he did such great and craziest job in the movie and his entry is really goosebumps with such different looks and Music of Anirudh especially Vikram Rathore entry 💯💯 performance by Nayantara is really amazing and she looked so attractive and beautiful in the movie, Deepika Padukone cameo was really good and she will also make you emotional, performance by Sanya Malhotra, lehar khan and Priyamani and their flashback story was really emotional and their performance was really brilliant. Performance by one and only villanious Makkal Selvan Vijay sethupathi was really crazy and hell in the movie especially whenever he comes to screen he ates it. Performance by Ridhi Dogra, Girija Oak , Aliyah Qureshi, Sunil Grover was really good, eijaz Khan , Jaffer Sadiq and Sanjeeta bhattacharya was really great in their roles. Music by Anirudh is second lead Hero of Jawan and Cinemathography and direction was really fantastic in the movie and please take your family with you and watch this movie they will surely enjoy it and please don't miss the beginning please it's goosebumps entry with such top notch Visuals and Music 🔥🔥😱🤯😍🤌💯. Overall ratings for mass - 4.5/5 "
8.0,5.0,"'Jawaan' is a cinematic masterpiece that deserves all the praise it gets. It's action-packed, visually stunning, and emotionally resonant. So, grab your popcorn, your sense of humor, and your thinking cap, because this movie is a wild ride you won't want to miss. SRK, take a bow, you've delivered a blockbuster that's both brainy and brawny!"
9.0,4.0,"Shahrukh Khan plays a mystery stranger in a remote northeast village as the film opens with a bang. JiVikram Rathore (Shah Rukh Khan), a charismatic soldier, decides to assist society in an unusual way. He commandeers a metro train, takes the passengers hostage, and demands something of Khaali Gaikwad (Vijay Sethupathi). The remainder of the film is devoted to Shahrukh Khan and Shahrukh Khan fighting against crony capitalism, substandard loans, farmer suicides, underfunded public hospitals, subpar military equipment, and immoral politicians. This is the subject of the movie."
10.0,4.0,"Jawan is a stylish action movie with enough plot twists and turns to keep spectators interested. Jawan is incredibly entertaining and always interesting.  It's a stylish, polished, action-packed movie with a compelling plot, thrills, and patriotism. After Pathan's enormous success, Shahrukh Khan has once more come back with a bang, delighting his admirers."
